,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
28458,Authariplatz,209401.0,129406,48.09179,11.562414,,,690798.4595652572,5329678.5860012425,True
28459,Authariplatz,209401.0,645612,48.09224,11.562692,,,690817.4922560427,5329729.286501268,True
28461,Autharistraße,564819.0,201110,48.090057,11.562998,,,690848.3573191398,5329487.436131773,True
28462,Autharistraße,564819.0,378640,48.09044,11.56412,,,690930.4802096344,5329532.784670283,True
28570,Avenariusplatz,511853.0,254836,48.142063,11.450286,,,682271.9153221913,5334993.823676161,True
28571,Avenariusplatz,511853.0,628604,48.142124,11.450106,,,682258.3103137983,5335000.176359381,True
30492,BMW-FIZ,206679.0,321790,48.193565,11.570534,,,691024.8224938281,5341009.667210644,True
30493,BMW-FIZ,206679.0,6653,48.19348,11.570759,,,691041.8578970295,5341000.78006896,True
31108,Baaderstraße,421434.0,230910,48.129917,11.578386,,,691845.6079103727,5333955.594690933,True
31109,Baaderstraße,421434.0,313944,48.13007,11.57844,,,691849.0552936754,5333972.733253259,True
33914,Bad Forstenried,685586.0,321965,48.087055,11.499271,,,686114.2207620767,5328997.70702277,True
33915,Bad Forstenried,685586.0,520402,48.08695,11.499801,,,686154.0649259415,5328987.319730839,True
36755,Bad Maria Einsiedel,304104.0,602902,48.096764,11.547097,,1,689639.728246178,5330193.507160805,True
41710,Bad-Schachener-Straße,314831.0,119922,48.11985,11.624173,,,695290.3293777985,5332952.0404819455,True
41711,Bad-Schachener-Straße,314831.0,55431,48.11992,11.624676,,,695327.4941684452,5332961.097381662,True
42475,"Bahnhof (S), Ebersberg (Oberbayern)",418470.0,402433,48.075214,11.96981,,,721201.7463718493,5328927.131791001,False
42476,"Bahnhof (S), Grafing b. München",127243.0,122577,48.04353,11.940987,,,719189.6693078412,5325323.585253849,False
42982,"Bahnhof, Hallbergmoos",470910.0,631940,48.308895,11.714003,,,701232.307521083,5354193.790096184,False
43010,"Bahnhof, Herrsching a. Ammersee",274540.0,518009,47.998196,11.170788,,,661932.665325181,5318379.846468725,False
43045,"Bahnhof, Ismaning",432246.0,326452,48.226074,11.679108,,,698966.6249920148,5344898.297368967,False
43046,"Bahnhof, Ismaning",432246.0,328628,48.226315,11.679156,,,698969.2547552097,5344925.205701309,False
43480,"Bahnhof, Weßling",231574.0,373685,48.076923,11.250519,,,667624.3073569415,5327299.982128825,False
43691,Bahnstraße,403742.0,462062,48.11516,11.695724,,,700632.9902810941,5332614.989973012,True
43692,Bahnstraße,403742.0,634061,48.115833,11.694834,,,700564.1351335087,5332687.462357653,True
43861,Baierbrunner Straße,519708.0,207293,48.09233,11.530137,,,688393.2947761497,5329659.064667401,True
43862,Baierbrunner Straße,519708.0,507053,48.09236,11.529949,,,688379.187686673,5329661.938449694,True
44075,Bajuwarenstraße,471706.0,260694,48.12352,11.667346,,,698488.8571335623,5333470.440314082,True
44076,Bajuwarenstraße,471706.0,269102,48.123245,11.666394,,,698419.0799695664,5333437.421329005,True
44077,Bajuwarenstraße,471706.0,514311,48.123264,11.666232,,,698406.9525026134,5333439.114917694,True
44078,Bajuwarenstraße,471706.0,87647,48.123642,11.667427,,,698494.4138861984,5333484.207887051,True
44130,Balanstraße,488500.0,10356,48.10854,11.603314,,,693780.670680721,5331642.338368529,True
44131,Balanstraße,488500.0,28081,48.108536,11.604814,,,693892.3316843489,5331645.67376866,True
44132,Balanstraße,488500.0,560281,48.10821,11.603934,,,693828.0592885404,5331607.225727806,True
44133,Balanstraße,488500.0,99452,48.109074,11.604149,,,693840.8109236059,5331703.788688027,True
44155,Baldeplatz,187185.0,161794,48.123238,11.567022,,,691024.9074157847,5333185.026408839,True
44156,Baldeplatz,187185.0,210923,48.122814,11.56695,,,691021.1228902377,5333137.725822563,True
44157,Baldeplatz,187185.0,342367,48.123425,11.567076,,,691028.2317596001,5333205.94301138,True
44158,Baldeplatz,187185.0,540576,48.12378,11.567022,,,691022.8966186811,5333245.262228497,True
45501,Barbarastraße,85118.0,57886,48.16138,11.557599,,,690182.7184172694,5337400.634721898,True
45502,Barbarastraße,85118.0,614277,48.161472,11.557599,,,690182.378151974,5337410.85931468,True
46333,Barlachstraße,613262.0,297282,48.17752,11.575736,,1,691471.1584583125,5339239.4215216935,True
47162,Barthstraße,631508.0,117040,48.140274,11.530011,,,688208.6305802721,5334987.081276844,True
47163,Barthstraße,631508.0,447997,48.14032,11.530443,,,688240.5967113521,5334993.251164094,True
47490,Basler Straße,506490.0,440659,48.091244,11.491096,,,685490.4181129812,5329443.517248608,True
47681,Bastian-Schmid-Platz,565893.0,29029,48.08514,11.513321,,,687167.367962298,5328818.958852876,True
47682,Bastian-Schmid-Platz,565893.0,635275,48.085052,11.513168,,,687156.294236612,5328808.806750782,True
