period_start,period_end,line,planned_trips,observed_trips,missing_trips,completeness_percent
2026-09-12 07:10:40,2026-09-13 07:10:40,25,573,52,521,9.08
2026-09-12 07:10:40,2026-09-13 07:10:40,259,55,0,55,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,260,103,0,103,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,261,90,0,90,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,262,82,0,82,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,263,114,0,114,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,265,53,0,53,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,266,103,0,103,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,267,101,0,101,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,268,102,0,102,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,27,229,0,229,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,270,83,0,83,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,28,122,0,122,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,294,58,0,58,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,336,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,396,4,0,4,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,451,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,455,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,456,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,470,6,2,4,33.33
2026-09-12 07:10:40,2026-09-13 07:10:40,485,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,486,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,4900,34,0,34,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,491,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,492,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,50,196,0,196,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,51,207,0,207,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,52,200,0,200,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,53,207,0,207,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,531,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,54,206,0,206,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,55,200,0,200,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,56,201,0,201,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,57,203,0,203,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,58,104,0,104,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,59,204,0,204,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,60,196,78,118,39.8
2026-09-12 07:10:40,2026-09-13 07:10:40,62,204,0,204,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,6207,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,63,204,0,204,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,68,102,0,102,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,701,90,0,90,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,710,88,0,88,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,830,94,0,94,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,8300,40,0,40,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,8500,42,0,42,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,851,92,0,92,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,859,86,0,86,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,860,93,0,93,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,864,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,882,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,900,6,0,6,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,943,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,944,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,951,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,96,52,0,52,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,962,68,0,68,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,996,4,0,4,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,EV,12,0,12,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,HEX,50,0,50,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,Lufthansa Express Bus,94,0,94,0.0
